Country,Region,ConfirmedCases,Fatalities,Ratio Cases Vs fatalities,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP (Billions. PPP) USD,GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment %per,Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Syria,Middle East and North Africa,10,2,5,,,,37,24.4,20.3,,,,49.6,58.2,48.3,47,0,,16.5,22,28,0,,18.4,,,,900,14.9,0,,,,,,,,,,,,,,,,,,,,
Gambia,Sub-Saharan Africa,4,1,4,146,30,52.4,39.9,42.5,41.2,74.3,70.7,0,54,67.4,62.4,61.6,65,50,14.2,35,32,17.9,31.3,2.1,3.6,3.5,3.1,1713,9.5,8,87.5,123.2,4.750599861,0.067163654,4.882240772,4.61895895,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,1.972316742,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465
Angola,Sub-Saharan Africa,7,2,3.5,156,33,50.6,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30,40,9.4,17,30,20.6,25.3,28.2,190.3,0.7,2.9,6753,8.2,31.7,-2254.5,65.3,,,,,,,,,,,,,,,,,,
Sudan,Sub-Saharan Africa,7,2,3.5,166,41,47.7,27.5,22.2,26.2,86.3,96.6,76.1,52.1,59,56.9,45,5,20,17.5,10,35,6.7,10.6,40.8,187,3.2,3,4586,12.7,32.4,1065.3,126,,,,,,,,,,,,,,,,,,
Bahamas,Americas,14,0,0,76,15,62.9,42.2,46.9,43.7,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60,18.6,0,0,16.3,21,0.4,11.6,1.3,-0.7,31139,12.6,1.4,927.7,57.2,,,,,,,,,,,,,,,,,,
Barbados,Americas,34,0,0,67,13,64.7,52.9,59.9,53.8,70.1,65,79.5,69.8,59.9,78.3,56.6,70,60,14.2,35,25,33.7,34.1,0.3,5.2,0.9,0.6,18664,9.7,4.4,286.2,132.9,,,,,,,,,,,,,,,,,,
Belize,Americas,3,0,0,123,24,55.4,41.7,46.9,27.2,79.9,65.9,39.1,61.8,54.8,78.7,64,55,50,10.5,25,25,27.6,33.7,0.4,3.2,0.8,1.8,8324,9.3,1.1,77,99,,,,,,,,,,,,,,,,,,
Benin,Sub-Saharan Africa,9,0,0,127,21,55.3,37.2,32.8,28.1,69.3,83.4,27.9,62.4,53.8,86.4,61.8,70,50,11.6,45,30,11.9,23.5,11.1,25.3,5.6,5,2277,2.5,0.1,184.4,54.6,5.21600008,0.077759244,5.368408203,5.063591957,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,1.972316742,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727
Bhutan,Asia-Pacific,4,0,0,74,16,62.9,62.5,55.4,54.5,83,71.6,77.6,68.7,79.5,72.6,79.4,20,30,2.8,25,30,13.4,30.7,0.8,7,6,5.2,8744,2.4,3.4,10.3,102.4,,,,,,,,,,,,,,,,,,
Cambodia,Asia-Pacific,109,0,0,105,22,57.8,37.4,27.6,16.7,89.7,85.9,89.1,29.9,63,79.4,65.4,60,50,9.8,20,20,15,21.7,16,64.3,6.9,7.1,4012,0.2,2.9,2784.4,35.1,4.848400116,0.058006871,4.962093353,4.734706879,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,1.972316742,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037
Central African Republic,Sub-Saharan Africa,3,0,0,161,38,49.1,19.6,29.6,23.2,65.2,94.2,94.3,24.2,40.1,72.3,51,45,30,14.5,50,30,9,13.9,5,3.4,4,-4.5,677,6,3.8,17.2,53.4,3.475899935,0.115182951,3.701658487,3.250141382,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,1.972316742,0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544
Chad,Sub-Saharan Africa,7,0,0,159,36,49.9,26.7,24.6,23.2,46.1,92.4,85.2,28.1,43.2,82.3,47.2,60,40,16.4,60,45,5.3,15.9,12.2,28.6,-3.1,1,2344,5.9,-0.9,335,52.5,4.422699928,0.075231321,4.570153236,4.27524662,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,1.972316742,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651
Djibouti,Sub-Saharan Africa,30,0,0,169,43,47.1,29.7,18.1,28.1,76.2,27.3,18.1,54.7,60.4,72.7,50.4,80,50,17.3,30,25,29.2,49.2,1,3.6,6.7,6.1,3559,5.8,0.7,165,30.6,,,,,,,,,,,,,,,,,,
Dominica,Americas,12,0,0,72,14,63.6,49.2,63.8,54.5,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70,30,8.4,35,30,25.8,39.4,0.1,0.8,-4.2,0,11102,0,0.6,18.9,87.6,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Sub-Saharan Africa,12,0,0,174,44,41,29.7,18.1,15.8,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40,30,15.6,35,35,20.4,32.8,0.8,30.4,-4.4,-5.6,36017,6.9,0.7,304.1,42.7,,,,,,,,,,,,,,,,,,
Eritrea,Sub-Saharan Africa,15,0,0,177,47,38.9,35.5,18.1,19.7,81.4,73.9,0,17.7,70,61,69.2,0,20,5.4,30,30,8,29.5,5.9,9.4,5,3.4,1581,6.4,9,55.5,131.2,,,,,,,,,,,,,,,,,,
Eswatini,Sub-Saharan Africa,9,0,0,132,23,54.7,41.7,42.9,35,74.8,65.6,18.3,59.2,67.5,73.7,87.6,50,40,1.2,33,28,25.5,33.9,1.1,11.3,0.2,2,9884,26.4,6.3,-136.8,29.2,,,,,,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,26,0,0,137,26,53.6,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58,60.8,60.8,35,20,12.1,35,30,12.4,17.9,92.7,200.2,10.9,9.9,2161,5.2,9.9,3586.4,56.2,4.186200142,0.038915094,4.262473583,4.109926701,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,1.972316742,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215
Fiji,Asia-Pacific,5,0,0,81,18,62.2,67.3,42.9,23.4,81.1,71.7,82.4,63,72.9,73.5,62.8,55,50,11.1,29,20,25.5,30.7,0.9,8.7,3.8,3.7,9777,6.3,3.4,299,46.6,,,,,,,,,,,,,,,,,,
Georgia,Europe,110,0,0,16,8,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76,88.6,80,70,0.7,20,15,25.8,29.6,3.7,39.7,4.8,3.7,10747,11.6,6,1861.9,44.9,4.672599792,0.043417413,4.757698059,4.587501526,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695,1.972316742,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831
Guinea,Sub-Saharan Africa,22,0,0,120,19,55.7,34.7,32.6,25.5,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50,40,10.9,40,35,15.3,18.4,13,26.5,6.7,4.9,2041,4.5,8.9,576.5,39.7,4.949299812,0.073042229,5.09246254,4.806137085,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,1.972316742,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809
Guinea-Bissau,Sub-Saharan Africa,8,0,0,135,25,54,32.6,42.9,25.3,88.8,86.7,81.4,35.9,61.2,78.1,55.6,30,30,12.2,20,25,9.6,21,1.7,3.1,5.5,4.3,1845,6.1,1.1,16.6,42,,,,,,,,,,,,,,,,,,
Haiti,Americas,15,0,0,143,25,52.7,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72,45,30,6.5,30,30,14.5,19.7,11,19.9,1.2,2.2,1815,14,14.7,374.9,31.1,3.720799923,0.101463005,3.919667482,3.521932364,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246,1.972316742,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916
Kuwait,Middle East and North Africa,289,0,0,90,8,60.8,52.9,43.3,35.3,97.7,17.3,99.1,57.4,61.7,70.6,79,55,60,3,0,15,1.6,52.5,4.4,291.5,-2.5,-0.1,66163,2.1,1.5,300.5,20.6,6.102099895,0.053297732,6.206563473,5.997636318,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,1.972316742,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999
Laos,Asia-Pacific,9,0,0,110,24,57.4,38.8,42.5,33.5,86.9,85.3,66.5,60.1,60.1,78.5,81.8,35,20,1.6,24,24,12.8,22.1,6.7,49.2,6.8,7.4,7366,0.7,0.8,813,62.8,4.888599873,0.040268615,4.967526436,4.809673309,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,1.972316742,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,1.621152639
Latvia,Europe,398,0,0,35,18,70.4,67.3,48.4,35.5,77,57.1,96.9,77.5,73.3,81.1,86,85,60,2,31.4,20,30.2,37.8,2,53.9,4.5,2.8,27644,8.7,2.9,721.2,34.8,5.949999809,0.034838136,6.018282413,5.881717205,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,1.972316742,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054
Liberia,Sub-Saharan Africa,3,0,0,160,37,49.7,26.7,39,24.2,82.7,62.1,69.1,50.6,38.3,68.9,60.1,55,20,12.4,25,25,21.8,35.5,4.5,6.1,2.5,2.1,1354,2.4,12.4,247.8,34.4,4.557899952,0.081956357,4.71853447,4.397265434,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933,1.972316742,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851
Libya,Middle East and North Africa,10,0,0,,,,7.6,24.4,15.8,,0,20,40.2,51.3,52.8,,5,,,10,20,0,139.2,6.4,64.4,70.8,-7.9,9986,17.7,28,,4.7,5.488800049,0.060677204,5.607727528,5.36987257,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,1.972316742,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156
Liechtenstein,Europe,68,0,0,,,,,,,,,,,,,,85,80,,7,12.5,0,,38,6.4,,,139.1,2.1,0,,,,,,,,,,,,,,,,,,,,
Madagascar,Sub-Saharan Africa,57,0,0,114,15,56.6,33.2,24.4,14.3,91,91.8,85.5,47.3,44.6,72.4,69.2,55,50,7.9,20,20,10.1,16.6,25.6,39.7,4.1,3.4,1551,1.8,8.1,389.1,37.3,4.165599823,0.057542104,4.278382301,4.052817345,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,1.972316742,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418
Maldives,Asia-Pacific,18,0,0,141,37,53.2,43.9,36.4,33.5,95.8,60.8,10.7,78.3,70.8,81,62.6,35,30,11.2,0,0,20.5,36.1,0.4,6.9,4.8,5.2,19151,5,2.8,517.5,68.1,5.197599888,0.071985401,5.338691235,5.056508541,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061,1.972316742,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774
Malta,Europe,169,0,0,41,20,68.6,69.8,50.4,50.3,64.2,56.1,94.5,67.1,61.3,78.2,86,85,60,2,35,35,33.6,38.3,0.5,19.3,6.6,6.9,41945,4,1.3,3185.2,52.6,6.772799969,0.042958103,6.856997967,6.688601971,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,1.972316742,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062
Mongolia,Asia-Pacific,12,0,0,126,29,55.4,48.2,23.8,29.8,88.5,63.1,6.2,66,75,77.8,75.8,50,60,4.6,10,25,20.7,35.1,3.1,39.7,5.1,5.7,12979,7,4.6,1494.4,91.4,5.456200123,0.040313236,5.535213947,5.377186298,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,1.972316742,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563
Mozambique,Sub-Saharan Africa,8,0,0,163,40,48.6,33.9,35.2,28.1,75.5,66.9,16.6,57.1,42,65.4,78,35,50,3.5,32,32,20.2,33.2,29.5,36.7,3,5.6,1244,25,15.3,2293.1,102.2,4.623600006,0.079284087,4.778996944,4.468203068,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,1.972316742,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202
Namibia,Sub-Saharan Africa,11,0,0,99,10,58.7,55.9,54.7,49.8,66.5,48.9,15.7,65.8,85.1,74.4,83,65,40,1,37,34,28.6,41.3,2.3,26.5,-1.2,3.6,11312,23.3,6.1,416,46.1,4.571100235,0.060983475,4.690628052,4.451572418,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788,1.972316742,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161
Nepal,Asia-Pacific,5,0,0,136,34,53.8,39.2,34.7,26.2,84,83.7,98.5,61.8,47.9,69.4,60.4,10,30,12.3,25,25,18.7,23.3,29.3,78.6,7.5,4.3,2679,2.7,4.5,198,27.2,5.137199879,0.057692084,5.250276566,5.024123192,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,1.972316742,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892
Papua New Guinea,Asia-Pacific,1,0,0,101,21,58.4,37.4,49,37.2,71.8,89.1,75.2,62.2,72.6,70,80.9,25,30,2,42,30,12.5,19.1,8.3,30.3,2.5,5.8,3675,2.7,5.2,-200.5,32.6,,,,,,,,,,,,,,,,,,
Saint Lucia,Sub-Saharan Africa,13,0,0,32,2,71.1,72.2,83.2,67.9,79.8,79.4,86.3,56.2,82.2,76.1,70.4,60,40,7.3,30,30,15,26.2,11.8,24.6,6.1,6.7,11025,1.3,4.8,366.2,40.6,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Americas,1,0,0,55,10,65.8,36.5,63.8,50.5,71.2,74.3,85,76.5,73.5,82.2,66.6,70,40,9.2,32.5,33,27.1,29.3,0.1,1.3,1,1.1,11491,18.3,2,87.1,80.8,,,,,,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,175,0,0,117,16,56.3,47.8,40.4,40.3,70.8,73.3,60,53.3,39.4,78.2,72,60,40,9,40,30,20.4,29.8,15.9,43.2,7.2,5.6,2727,4.9,1.4,532.3,61.2,4.980800152,0.05276908,5.084227562,4.877372742,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,1.972316742,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949
Seychelles,Sub-Saharan Africa,10,0,0,87,6,61.4,58.2,37.5,39.2,76.3,60.3,92,63.3,63.2,80,81.4,55,30,4.3,15,33,32.6,36.4,0.1,2.7,4.2,4.9,28779,0,2.9,191.9,63.3,,,,,,,,,,,,,,,,,,
Slovakia,Europe,363,0,0,65,32,65,68.5,37.2,37.7,78.6,46.1,87.2,61.3,53.4,78.6,86,75,70,2,25,21,32.7,42.4,5.4,179.4,3.4,3,33025,8.1,1.3,2276.7,50.4,6.280600071,0.03889757,6.35683918,6.204360962,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,1.972316742,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043
Somalia,Sub-Saharan Africa,5,0,0,,,,33.7,26.6,7.9,,,,31.7,,,,,,,,,0,,14.3,18.7,1.8,2.2,481.83,6,0,384,,,,,,,,,,,,,,,,,,,
Suriname,Americas,9,0,0,165,28,48.1,49.1,22.2,35.5,70.9,77.2,9.6,48.3,73.5,56,64.6,40,30,10.2,38,36,13.2,27.6,0.6,8.5,0,-0.9,14606,8.1,22,-87.3,72.1,,,,,,,,,,,,,,,,,,
Timor-Leste,Asia-Pacific,1,0,0,172,42,44.2,29.7,13.1,32.1,96.3,0.9,20,60.5,58.8,79.5,75,45,20,2.5,10,10,13.1,57.5,1.2,6.8,-0.5,3.1,5444,3.4,0.6,6.7,0,,,,,,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,44,0,0,95,8,59.7,42.2,38.5,25.4,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55,40,7.3,40,30,12.9,19.4,37.7,88.7,4.5,4.3,2354,2.1,5.6,699.7,39,4.43200016,0.068495452,4.566251278,4.297749043,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,1.972316742,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093
Vietnam,Asia-Pacific,212,0,0,128,30,55.3,49.8,40.3,34,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30,40,2.9,35,22,18,29.4,93.6,647.4,6.8,6.2,6913,2.1,3.5,14100,58.2,5.353499889,0.033800762,5.41974926,5.287250519,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,1.972316742,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936
Zambia,Sub-Saharan Africa,35,0,0,138,27,53.6,45,35.6,32.3,72.3,80.1,12.3,71.1,46,70.3,72.6,55,50,6.2,35,35,17.9,25.8,17.2,68.9,3.6,4,3996,7.8,6.6,1091.2,62.2,3.759399891,0.06067669,3.878326178,3.640473604,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1.972316742,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333
